Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
-1,1,2,3,1,0,2,1,1,yes
0,-1,-1,-1,0,0,2,-1,0,yes
0,1,-1,3,-2,-4,-7,1,0,yes
0,0,1,-2,0,0,-4,-1,0,no
1,-4,1,-5,0,0,-1,-1,-2,no
-1,-4,1,-4,0,0,-1,0,0,no
0,-1,3,-2,1,2,2,1,0,no
-2,0,2,-4,1,-2,4,0,1,no
-1,1,0,1,-1,1,0,1,-1,yes
-1,2,2,-4,0,1,1,-1,0,no
0,-2,-1,1,-1,1,1,1,1,yes
-1,0,2,-1,4,1,-2,-1,0,yes
0,1,2,-1,-3,0,2,1,0,yes
0,-1,-2,5,2,-1,1,0,0,no
1,4,1,5,-1,1,-3,0,-1,yes
0,1,0,2,2,1,0,0,-1,no
0,3,2,0,1,-1,2,1,-1,no
0,-4,0,-4,-1,1,-5,-2,-1,yes
0,0,-1,-3,1,1,1,2,0,yes
2,2,1,-1,-1,-4,0,0,-2,yes
0,-1,1,3,0,1,1,2,0,yes
0,5,0,0,1,-1,-3,0,-1,yes
0,-1,2,-3,0,-1,6,-2,-1,yes
1,-2,1,2,-1,2,-2,1,0,yes
0,-2,2,-1,0,-1,4,-1,0,yes
0,-6,0,0,-1,1,1,0,1,yes
0,-2,3,1,0,1,2,0,-1,no
0,-2,2,-4,0,-2,2,3,0,yes
0,-2,1,-2,0,1,1,-1,0,no
-1,0,3,5,-1,2,4,0,1,yes
0,5,-4,1,0,-1,-5,5,0,yes
-1,-3,2,-3,0,0,0,1,1,no
1,0,1,4,1,0,-3,3,-1,yes
0,5,1,3,1,1,-1,0,0,yes
1,3,1,-1,0,1,0,0,-1,no
0,0,-1,-1,2,0,2,0,0,yes
0,0,-2,-1,0,1,-4,2,-1,no
0,1,0,3,1,1,2,1,0,no
0,3,0,0,0,0,2,0,0,yes
0,1,0,3,0,1,1,0,0,no
0,1,-1,-2,2,-2,-4,1,0,yes
0,-6,1,-4,-1,1,0,-2,1,yes
0,3,-2,0,1,1,-3,1,0,no
0,-3,2,0,-2,1,5,2,0,yes
0,-3,2,4,0,1,-1,-5,1,yes
-1,-3,2,-1,0,2,3,0,1,no
0,1,0,-1,1,1,2,0,2,yes
-1,-1,0,0,0,0,-3,-1,0,no
0,-2,-1,2,2,-1,2,0,0,yes
-1,-4,-1,2,0,0,0,1,0,yes
0,-2,-3,-1,-1,-1,-1,0,0,yes
0,-4,1,1,0,0,2,-4,-1,no
1,8,-1,4,-1,-2,-3,3,-1,no
-1,2,3,-2,0,3,-2,1,0,no
0,3,-1,1,0,0,1,0,-1,no
0,1,0,0,0,0,-1,-1,0,no
0,-3,0,0,-1,0,-5,0,-1,no
1,-1,2,-2,-1,0,1,-2,0,yes
0,-3,2,1,1,-2,-2,1,1,no
0,5,1,5,0,0,2,1,-1,no
1,1,4,-6,0,0,4,1,0,yes
0,5,-1,-1,-1,-1,1,4,1,no
1,-2,-1,4,-1,0,1,-1,0,no
0,0,-1,-3,1,2,2,-1,1,no
-1,-2,1,1,0,0,2,3,-1,no
-1,0,-3,0,0,1,-2,2,-1,yes
0,4,-2,0,0,0,0,-2,0,no
0,-3,2,4,1,0,1,1,0,no
0,0,-1,-1,-1,-2,-1,-1,0,yes
0,1,0,3,2,5,2,-2,0,yes
1,-1,4,-1,0,0,1,2,1,yes
0,-3,1,0,-1,3,4,-1,0,yes
1,-3,-4,-4,2,-2,-3,0,-1,yes
-1,-1,2,-2,-1,0,2,-1,1,no
0,0,1,3,0,0,2,-1,0,yes
0,0,0,1,-1,0,2,0,-1,yes
0,-1,-1,1,2,1,3,2,0,yes
0,1,2,1,0,0,4,-1,0,yes
0,0,3,-1,-2,2,-3,-2,0,yes
0,-3,0,-1,1,1,5,-1,0,no
0,4,-2,-2,3,1,-2,1,0,yes
0,-4,-1,3,0,0,2,-1,0,no
0,-3,2,-6,2,1,0,-2,1,yes
1,2,0,-2,0,0,2,-2,1,yes
0,-2,0,0,1,2,2,-1,0,no
0,0,-2,3,0,-1,1,0,0,no
0,0,1,-1,-1,1,2,2,0,no
1,-4,1,-5,1,0,-1,2,0,no
0,0,-1,0,0,2,-2,1,1,yes
0,-2,-3,-1,0,-1,-3,-2,-1,no
1,-5,2,3,0,2,1,-4,0,yes
0,-1,0,3,-1,-1,-2,-2,1,yes
0,0,0,2,-1,1,0,0,0,yes
0,-2,-1,-1,1,1,-2,-1,0,yes
0,5,-2,4,-2,1,1,1,-1,no
0,4,-3,3,0,1,1,2,0,yes
0,-6,2,0,2,4,1,-5,1,no
1,-3,0,4,-1,0,-1,-1,0,no
-1,2,-1,4,1,0,3,-1,1,yes
0,2,-1,0,1,2,1,0,0,yes
-2,-6,-2,6,-4,0,0,0,0,no
0,-1,0,3,0,0,1,-2,1,no
0,1,0,1,0,-1,-2,3,0,yes
0,-2,-1,-2,2,0,1,2,0,yes
0,-1,-1,2,0,1,-2,1,0,no
0,2,1,-2,0,1,4,0,0,no
0,2,0,0,1,0,1,1,1,no
1,-1,-3,2,0,1,0,5,-1,yes
0,0,-2,1,-1,-1,-2,-1,-1,yes
0,-4,1,1,-1,2,-1,0,-1,no
0,3,-2,-5,-1,0,1,1,0,no
0,0,0,-1,0,-1,-1,0,0,yes
0,2,-1,1,2,0,2,2,0,yes
0,0,0,-2,-2,-2,2,-1,0,no
0,-1,1,-2,-1,1,-2,0,0,yes
0,2,0,1,0,-1,-1,0,0,no
1,0,1,1,1,2,-2,-2,-1,yes
1,-2,3,-3,0,-2,2,-2,0,yes
0,0,-1,3,1,0,0,0,0,yes
0,-1,0,0,-1,2,-6,1,0,yes
-1,2,0,-1,0,0,3,2,0,yes
0,3,2,2,-1,0,2,-1,1,yes
0,1,-2,-1,0,-2,-1,1,-1,no
0,2,0,3,1,1,2,0,0,no
0,0,-1,0,0,1,-1,0,0,no
1,1,-2,2,0,-1,-1,0,-1,yes
0,-8,3,-4,0,-1,1,2,0,yes
1,0,1,0,0,0,-1,3,-1,yes
0,1,0,2,0,0,-1,0,0,yes
-1,-1,-1,-1,0,-1,3,0,0,no
-1,-4,0,6,0,0,1,-1,1,no
0,3,2,1,-1,-2,-1,0,1,no
0,3,-1,-1,2,1,2,0,-1,yes
-1,-3,0,2,0,0,0,-4,0,no
-3,-3,0,6,-1,0,2,1,0,no
-1,-2,0,2,0,2,2,4,0,no
0,-5,1,-2,0,-2,-4,-2,1,yes
1,1,0,3,1,0,-3,3,-1,no
1,6,-1,0,1,0,0,3,-2,no
0,-1,2,0,0,2,-3,1,0,yes
1,-1,-1,4,0,0,-4,1,-1,yes
-1,2,2,-2,0,1,-1,0,0,yes
1,1,1,1,0,1,-1,-2,-1,no
0,2,-2,-4,0,1,0,0,-1,yes
0,-5,4,0,0,1,3,-3,0,no
0,-2,-1,-1,0,0,0,-1,0,yes
1,-1,0,-1,1,1,-3,1,1,yes
1,0,2,-2,2,3,2,-2,-1,no
0,0,1,-2,0,2,6,-1,-1,no
0,1,1,-1,-1,-1,0,2,0,yes
1,-3,1,1,-1,3,2,-4,0,no
-1,-1,1,-3,-1,0,3,-3,0,no
-1,-1,2,-1,-1,-1,1,1,0,no
0,-4,-1,2,0,1,2,0,-1,yes
0,-3,-1,-2,-1,1,-2,0,0,yes
0,1,-1,2,0,0,0,1,1,yes
0,0,5,1,2,1,-7,-1,1,yes
0,1,0,-3,1,2,-5,0,1,yes
-1,-2,2,-3,-1,3,0,0,0,no
3,1,1,-1,0,-1,1,3,0,yes
0,-4,-2,0,0,2,2,-1,0,no
-1,-7,2,-1,2,0,1,-1,0,no
0,2,-2,-2,0,0,-1,-2,0,yes
1,5,1,-2,1,0,3,2,-1,yes
1,2,2,-1,1,-1,3,-2,0,no
1,2,3,4,2,0,1,1,1,yes
1,0,-1,0,0,2,2,-1,0,yes
0,2,-1,0,2,2,-1,0,-1,yes
0,-7,1,-2,0,0,1,-1,1,no
0,0,0,2,0,-1,-3,3,0,no
