,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt,time_stamp,period,period_time,rfc_prediction
0,0,0,0,0.0,0.0,0.0,100.0,0,0,0,-69.0,20210613_192309,1,00:08,yes
1,0,0,0,0.0,0.0,0.0,100.0,0,0,0,-152.0,20210613_192413,1,01:26,yes
2,0,1,0,0.0,0.0,0.0,100.0,1,0,-1,-154.0,20210613_192515,1,02:11,yes
3,2,0,0,0.0,0.0,0.0,100.0,1,0,-2,-274.0,20210613_192616,1,02:59,yes
4,2,0,0,0.0,0.0,0.0,0.0,1,0,-2,-385.0,20210613_192720,1,02:59,no
5,2,0,0,0.0,0.0,0.0,0.0,1,0,-2,-316.0,20210613_192812,1,03:40,no
6,2,0,0,0.0,0.0,0.0,-20.0,1,0,-3,-296.0,20210613_192906,1,03:50,no
7,5,0,2,0.0,0.0,-1.0,-20.0,3,0,-3,-491.0,20210613_193015,1,04:38,no
8,5,0,2,0.0,0.0,-1.0,-42.800000000000004,4,0,-3,-560.0,20210613_193110,1,05:11,no
9,5,0,2,0.0,0.0,-1.0,-42.800000000000004,4,0,-3,-515.0,20210613_193217,1,06:10,no
10,5,0,2,0.0,0.0,-1.0,-50.0,3,0,-1,-515.0,20210613_193312,1,06:35,no
11,6,1,2,0.0,0.0,-1.0,-50.0,4,0,-2,-654.0,20210613_193420,1,08:05,no
12,6,1,2,0.0,0.0,-1.0,-55.599999999999994,4,0,-3,-947.0,20210613_193515,1,08:40,no
13,4,1,2,0.0,0.0,-1.0,-55.599999999999994,4,0,-1,-641.0,20210613_193610,1,09:21,no
14,4,1,2,0.0,0.0,-2.0,-55.599999999999994,4,0,0,-637.0,20210613_193722,1,09:21,no
