,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,home_status,time_stamp,period,period_time
0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,away,20210613_192309,1,00:08
1,0,0,0,0.0,0.0,0.0,100.0,0,0,0,home,20210613_192309,1,00:08
2,1,0,2,0.0,0.0,0.0,0.0,0,0,0,away,20210613_192413,1,01:26
3,1,0,2,0.0,0.0,0.0,100.0,0,0,0,home,20210613_192413,1,01:26
4,1,0,2,0.0,0.0,0.0,0.0,0,0,1,away,20210613_192515,1,02:11
5,1,1,2,0.0,0.0,0.0,100.0,1,0,0,home,20210613_192515,1,02:11
6,1,1,2,0.0,0.0,0.0,0.0,0,0,2,away,20210613_192616,1,02:59
7,3,1,2,0.0,0.0,0.0,100.0,1,0,0,home,20210613_192616,1,02:59
8,1,1,2,0.0,0.0,0.0,50.0,0,0,3,away,20210613_192720,1,02:59
9,3,1,2,0.0,0.0,0.0,50.0,1,0,1,home,20210613_192720,1,02:59
10,1,1,2,0.0,0.0,0.0,50.0,0,0,3,away,20210613_192812,1,03:40
11,3,1,2,0.0,0.0,0.0,50.0,1,0,1,home,20210613_192812,1,03:40
12,1,1,2,0.0,0.0,0.0,60.0,0,0,4,away,20210613_192906,1,03:50
13,3,1,2,0.0,0.0,0.0,40.0,1,0,1,home,20210613_192906,1,03:50
14,1,1,2,0.0,0.0,1.0,60.0,0,0,4,away,20210613_193015,1,04:38
15,6,1,4,0.0,0.0,0.0,40.0,3,0,1,home,20210613_193015,1,04:38
16,1,1,2,0.0,0.0,1.0,71.4,0,0,4,away,20210613_193110,1,05:11
17,6,1,4,0.0,0.0,0.0,28.6,4,0,1,home,20210613_193110,1,05:11
18,1,1,2,0.0,0.0,1.0,71.4,0,0,4,away,20210613_193217,1,06:10
19,6,1,4,0.0,0.0,0.0,28.6,4,0,1,home,20210613_193217,1,06:10
20,1,1,2,0.0,0.0,1.0,75.0,1,0,4,away,20210613_193312,1,06:35
21,6,1,4,0.0,0.0,0.0,25.0,4,0,3,home,20210613_193312,1,06:35
22,1,1,2,0.0,0.0,1.0,75.0,1,0,5,away,20210613_193420,1,08:05
23,7,2,4,0.0,0.0,0.0,25.0,5,0,3,home,20210613_193420,1,08:05
24,1,1,2,0.0,0.0,1.0,77.8,1,0,6,away,20210613_193515,1,08:40
25,7,2,4,0.0,0.0,0.0,22.2,5,0,3,home,20210613_193515,1,08:40
26,3,1,2,0.0,0.0,1.0,77.8,1,0,7,away,20210613_193610,1,09:21
27,7,2,4,0.0,0.0,0.0,22.2,5,0,6,home,20210613_193610,1,09:21
28,3,1,2,0.0,0.0,2.0,77.8,1,0,7,away,20210613_193722,1,09:21
29,7,2,4,0.0,0.0,0.0,22.2,5,0,7,home,20210613_193722,1,09:21
30,3,1,2,0.0,0.0,2.0,77.8,1,0,7,away,20210613_193811,1,09:21
31,7,2,6,0.0,0.0,0.0,22.2,5,0,7,home,20210613_193811,1,09:21
32,3,1,2,0.0,0.0,2.0,80.0,1,1,7,away,20210613_193906,1,09:51
33,7,2,6,0.0,0.0,0.0,20.0,5,0,7,home,20210613_193906,1,09:51
34,4,1,2,0.0,0.0,2.0,80.0,2,1,7,away,20210613_194018,1,10:31
35,7,2,6,0.0,0.0,0.0,20.0,5,0,8,home,20210613_194018,1,10:31
36,7,1,2,0.0,0.0,2.0,72.7,1,1,7,away,20210613_194113,1,11:38
37,7,2,6,0.0,0.0,0.0,27.3,5,0,7,home,20210613_194113,1,11:38
38,8,1,2,0.0,0.0,2.0,72.7,2,1,7,away,20210613_194221,1,12:39
39,8,2,6,0.0,0.0,0.0,27.3,5,0,9,home,20210613_194221,1,12:39
40,10,1,2,0.0,0.0,2.0,72.7,3,1,10,away,20210613_194316,1,13:30
41,9,4,6,0.0,0.0,0.0,27.3,5,0,9,home,20210613_194316,1,13:30
42,10,1,2,0.0,0.0,2.0,72.7,3,1,11,away,20210613_194423,1,13:30
43,9,4,6,0.0,0.0,0.0,27.3,5,0,9,home,20210613_194423,1,13:30
44,10,1,2,0.0,0.0,2.0,72.7,3,1,11,away,20210613_194518,1,13:30
45,9,4,6,0.0,0.0,0.0,27.3,5,0,9,home,20210613_194518,1,13:30
46,12,1,2,0.0,0.0,2.0,66.7,3,1,11,away,20210613_194615,1,14:07
47,9,4,6,0.0,0.0,0.0,33.3,5,0,9,home,20210613_194615,1,14:07
48,12,1,2,0.0,0.0,2.0,72.7,3,1,11,away,20210613_194710,1,14:22
49,10,4,6,0.0,0.0,0.0,27.3,5,0,9,home,20210613_194710,1,14:22
50,12,1,2,0.0,0.0,2.0,66.7,3,1,12,away,20210613_194822,1,16:09
51,10,4,6,0.0,0.0,0.0,33.3,5,0,10,home,20210613_194822,1,16:09
52,14,1,2,0.0,0.0,2.0,66.7,4,1,13,away,20210613_194922,1,17:25
53,11,4,6,0.0,0.0,0.0,33.3,5,0,12,home,20210613_194922,1,17:25
54,14,1,2,0.0,0.0,2.0,66.7,4,1,13,away,20210613_195017,1,17:39
55,11,4,6,0.0,0.0,0.0,33.3,5,0,14,home,20210613_195017,1,17:39
56,14,1,2,0.0,0.0,2.0,66.7,4,1,13,away,20210613_195112,1,17:39
57,11,4,6,0.0,0.0,0.0,33.3,5,0,14,home,20210613_195112,1,17:39
58,14,1,2,0.0,0.0,2.0,66.7,4,1,13,away,20210613_195224,1,17:45
