,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt,time_stamp,period,period_time,rfc_prediction
0,0,0,0,0.0,0.0,0.0,100.0,0,0,0,-69.0,20210613_192309,1,00:08,yes
1,0,0,0,0.0,0.0,0.0,100.0,0,0,0,-152.0,20210613_192413,1,01:26,yes
2,0,1,0,0.0,0.0,0.0,100.0,1,0,-1,-154.0,20210613_192515,1,02:11,yes
3,2,0,0,0.0,0.0,0.0,100.0,1,0,-2,-274.0,20210613_192616,1,02:59,yes
4,2,0,0,0.0,0.0,0.0,0.0,1,0,-2,-385.0,20210613_192720,1,02:59,no
5,2,0,0,0.0,0.0,0.0,0.0,1,0,-2,-316.0,20210613_192812,1,03:40,no
6,2,0,0,0.0,0.0,0.0,-20.0,1,0,-3,-296.0,20210613_192906,1,03:50,no
7,5,0,2,0.0,0.0,-1.0,-20.0,3,0,-3,-491.0,20210613_193015,1,04:38,no
8,5,0,2,0.0,0.0,-1.0,-42.800000000000004,4,0,-3,-560.0,20210613_193110,1,05:11,no
9,5,0,2,0.0,0.0,-1.0,-42.800000000000004,4,0,-3,-515.0,20210613_193217,1,06:10,no
10,5,0,2,0.0,0.0,-1.0,-50.0,3,0,-1,-515.0,20210613_193312,1,06:35,no
11,6,1,2,0.0,0.0,-1.0,-50.0,4,0,-2,-654.0,20210613_193420,1,08:05,no
12,6,1,2,0.0,0.0,-1.0,-55.599999999999994,4,0,-3,-947.0,20210613_193515,1,08:40,no
13,4,1,2,0.0,0.0,-1.0,-55.599999999999994,4,0,-1,-641.0,20210613_193610,1,09:21,no
14,4,1,2,0.0,0.0,-2.0,-55.599999999999994,4,0,0,-637.0,20210613_193722,1,09:21,no
15,4,1,4,0.0,0.0,-2.0,-55.599999999999994,4,0,0,-637.0,20210613_193811,1,09:21,no
16,4,1,4,0.0,0.0,-2.0,-60.0,4,-1,0,-568.0,20210613_193906,1,09:51,no
17,3,1,4,0.0,0.0,-2.0,-60.0,3,-1,1,-474.0,20210613_194018,1,10:31,no
18,0,1,4,0.0,0.0,-2.0,-45.400000000000006,4,-1,0,-246.0,20210613_194113,1,11:38,no
19,0,1,4,0.0,0.0,-2.0,-45.400000000000006,3,-1,2,-287.0,20210613_194221,1,12:39,no
20,-1,3,4,0.0,0.0,-2.0,-45.400000000000006,2,-1,-1,-298.0,20210613_194316,1,13:30,yes
21,-1,3,4,0.0,0.0,-2.0,-45.400000000000006,2,-1,-2,-298.0,20210613_194423,1,13:30,yes
22,-1,3,4,0.0,0.0,-2.0,-45.400000000000006,2,-1,-2,-298.0,20210613_194518,1,13:30,yes
23,-3,3,4,0.0,0.0,-2.0,-33.400000000000006,2,-1,-2,-102.0,20210613_194615,1,14:07,yes
24,-2,3,4,0.0,0.0,-2.0,-45.400000000000006,2,-1,-2,-183.0,20210613_194710,1,14:22,yes
25,-2,3,4,0.0,0.0,-2.0,-33.400000000000006,2,-1,-2,-267.0,20210613_194822,1,16:09,yes
26,-3,3,4,0.0,0.0,-2.0,-33.400000000000006,1,-1,-1,-244.0,20210613_194922,1,17:25,yes
27,-3,3,4,0.0,0.0,-2.0,-33.400000000000006,1,-1,1,-273.0,20210613_195017,1,17:39,yes
28,-3,3,4,0.0,0.0,-2.0,-33.400000000000006,1,-1,1,-273.0,20210613_195112,1,17:39,yes
29,-3,3,4,0.0,0.0,-2.0,-33.400000000000006,1,-1,1,-417.0,20210613_195224,1,17:45,yes
30,-3,3,4,0.0,0.0,-2.0,-33.400000000000006,1,-1,0,-417.0,20210613_195321,1,18:06,yes
31,-3,4,4,0.0,0.0,-2.0,-14.200000000000003,1,-1,0,-319.0,20210613_195416,1,19:13,yes
32,-3,4,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_195511,1,20:00,yes
33,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_195620,1,20:00,yes
34,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_195715,1,20:00,yes
35,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_195810,1,20:00,yes
36,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_195916,1,20:00,yes
37,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200011,1,20:00,yes
38,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200123,1,20:00,yes
39,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200212,1,20:00,yes
